[script #256]  ; orig idx=256, "Darkness", offset 0xE97000, special: Deal 1x Damage + Apply Slow
FF             - End of script

[script #257]  ; orig idx=257, "Golbez", offset 0xE970A0, special: 100% Deal 1x Damage + Inflict Frozen
FC 15 00 00    | If... Variable $000 has unset bit 0x01
F3 03 00       | > Display message 3: There is no future for the fearful_ Show me your true resolv...
F9 01 00 00    | > Modify var. bits [$000: Set 0x01]
FE             | > End of if statement, reset target and wait
F0 16 0B 0B    | Random spell: [Flare] or [Bio] or [Bio]
F0 0E 0D 0C    | Random spell: [Thundaga] or [Blizzaga] or [Firaga]
FD             | Wait for next turn, reset target
F0 14 09 09    | Random spell: [Scourge] or [Break] or [Break]
F0 16 13 13    | Random spell: [Flare] or [Flood] or [Flood]
FD             | Wait for next turn, reset target
F0 10 2C 11    | Random spell: [Death] or [Confuse] or [Rasp]
12             | Quake
11             | Rasp
16             | Flare
FE             | End of if statement, reset target and wait
FF             @ End of action script, begin counter-attack script
FC 15 00 01    | If... Variable $000 has unset bit 0x02
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F9 01 00 01    | >> Modify var. bits [$000: Set 0x02]
FE             | >> End of if statement, reset target and wait
FC 12 01 00    | If... Monsters <0> are dead
F3 04 00       | > Display message 4: Come forth, my creature of shadow!
FA 0C 01 00    | > Use Animation 
F5 08 03 00    | > Adjust enemies: Monsters <Self> => Hide, refill MP
F2 00 02 80    | > Formation change to 2
F5 08 00 01    | > Adjust enemies: Monsters <0> => Unhide, refill HP
FE             | > End of if statement, reset target and wait
FC 01 12 0C    | If... Hit by command [Mimic] or [Blue]
F0 FE EF FE    | > Random spell: [Nothing] or [Special: Binding Cold] or [Nothing]
FE             | > End of if statement, reset target and wait
FC 01 19 17    | If... Hit by command [Summon] or [XMagic]
F0 EF FE FE    | > Random spell: [Special: Binding Cold] or [Nothing] or [Nothing]
FE             | > End of if statement, reset target and wait
FC 01 00 00    | If... Hit by command [Fight] or [Fight]
F0 FE FE E2    | > Random spell: [Nothing] or [Nothing] or [Nightglow]
FE             | > End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 E2 FE FE    | > Random spell: [Nightglow] or [Nothing] or [Nothing]
FF             - End of script

[script #258]  ; orig idx=258, "Golbez", offset 0xE97140, special: 100% Instant Death
F0 16 16 04    | Random spell: [Flare] or [Flare] or [Drain]
F0 E5 30 E5    | Random spell: [Genesis Rock] or [Curaga] or [Genesis Rock]
FD             | Wait for next turn, reset target
F0 12 14 12    | Random spell: [Quake] or [Scourge] or [Quake]
F0 E2 21 E2    | Random spell: [Nightglow] or [Slowga] or [Nightglow]
FD             | Wait for next turn, reset target
AE             | Reflect????
F0 E5 E2 E5    | Random spell: [Genesis Rock] or [Nightglow] or [Genesis Rock]
FD             | Wait for next turn, reset target
F0 12 C2 C2    | Random spell: [Quake] or [Artillery Drone] or [Artillery Drone]
F0 E2 34 E2    | Random spell: [Nightglow] or [Tornado] or [Nightglow]
FD             | Wait for next turn, reset target
23             | Meteor
F0 FE FE 23    | Random spell: [Nothing] or [Nothing] or [Meteor]
F3 06 00       | Display message 6: Shadow Dragon's power has healed statuses!
FB 0C 12       | Misc.: Removes status Slow
FF             @ End of action script, begin counter-attack script
FC 15 00 02    | If... Variable $000 has unset bit 0x04
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F9 01 00 02    | >> Modify var. bits [$000: Set 0x04]
FE             | >> End of if statement, reset target and wait
FC 12 01 00    | If... Monsters <0> are dead
F3 05 00       | > Display message 5: Such incredible strength!
F5 0C 01 FF    | > Adjust enemies: Monsters <ALL> => Boss Death
FE             | > End of if statement, reset target and wait
FC 01 12 0C    | If... Hit by command [Mimic] or [Blue]
F0 FE 11 16    | > Random spell: [Nothing] or [Rasp] or [Flare]
F8 02 82       | > Modify variable [$002 + 2]
FC 0D 02 04    | > If... Variable $002 is 4 or more
EF             | >> Special: Black Fang
F8 02 00       | >> Modify variable [$002 = 0]
FE             | >> End of if statement, reset target and wait
FC 01 19 17    | If... Hit by command [Summon] or [XMagic]
F0 16 FE C2    | > Random spell: [Flare] or [Nothing] or [Artillery Drone]
F8 02 83       | > Modify variable [$002 + 3]
FC 0D 02 04    | > If... Variable $002 is 4 or more
EF             | >> Special: Black Fang
F8 02 00       | >> Modify variable [$002 = 0]
FE             | >> End of if statement, reset target and wait
FC 01 00 00    | If... Hit by command [Fight] or [Fight]
F0 04 FE 04    | > Random spell: [Drain] or [Nothing] or [Drain]
F8 02 81       | > Modify variable [$002 + 1]
FC 0D 02 04    | > If... Variable $002 is 4 or more
EF             | >> Special: Black Fang
F8 02 00       | >> Modify variable [$002 = 0]
FE             | >> End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 04 04 FE    | > Random spell: [Drain] or [Drain] or [Nothing]
F8 02 82       | > Modify variable [$002 + 2]
FC 0D 02 04    | > If... Variable $002 is 4 or more
EF             | >> Special: Black Fang
F8 02 00       | >> Modify variable [$002 = 0]
FF             - End of script

[script #259]  ; orig idx=259, "Zeromus", offset 0xE97200, special: 100% Inflict Stop
1F             | X-Zone
F0 10 10 E8    | Random spell: [Death] or [Death] or [Kill]
FD             | Wait for next turn, reset target
8D             | Mind Blast
EB             | Life Shaver
FD             | Wait for next turn, reset target
F0 B2 B2 B1    | Random spell: [Whirlwind] or [Whirlwind] or [Blaster]
16             | Flare
FF             @ End of action script, begin counter-attack script
FC 12 01 00    | If... Monsters <0> are dead
FB 0E 48       | > Misc.: ??? <0E>
F3 08 00       | > Display message 8: Grr_ gh_ agh_
FA 0C 01 00    | > Use Animation 
F5 0B 03 00    | > Adjust enemies: Monsters <Self> => Hide, refill MP
FB 0F 1F       | > Misc.: ??? <0F>
F2 00 04 80    | > Formation change to 4
F5 08 00 01    | > Adjust enemies: Monsters <0> => Unhide, refill HP
F7 02          | > Special event 0x02
FB 0E E9       | > Misc.: ??? <0E>
FE             | > End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 FE EF FE    | > Random spell: [Nothing] or [Special: Dimensional Vortex] or [Nothing]
FF             - End of script

[script #260]  ; orig idx=260, "Zeromus", offset 0xE97260, special: Deal 5.5x Damage
FC 0D 03 02    | If... Variable $003 is 2 or more
E0             | > Black Hole
F0 16 16 23    | > Random spell: [Flare] or [Flare] or [Meteor]
FB 0C 12       | > Misc.: Removes status Slow
FD             | > Wait for next turn, reset target
F0 1A 8D B1    | > Random spell: [Stop] or [Mind Blast] or [Blaster]
71             | > Shadow Flare
FB 0C 12       | > Misc.: Removes status Slow
FD             | > Wait for next turn, reset target
23             | > Meteor
FB 0C 12       | > Misc.: Removes status Slow
FD             | > Wait for next turn, reset target
F0 34 1E B2    | > Random spell: [Tornado] or [Gravity] or [Whirlwind]
C9             | > Reverse Polarity
FB 0C 12       | > Misc.: Removes status Slow
FD             | > Wait for next turn, reset target
B8             | > Big Bang
FB 0C 12       | > Misc.: Removes status Slow
FE             | > End of if statement, reset target and wait
FC 0D 03 01    | If... Variable $003 is 1 or more
E0             | > Black Hole
F0 16 16 14    | > Random spell: [Flare] or [Flare] or [Scourge]
FD             | > Wait for next turn, reset target
F0 21 96 8D    | > Random spell: [Slowga] or [Level 4 Hold] or [Mind Blast]
20             | > Comet
FD             | > Wait for next turn, reset target
F0 34 14 1E    | > Random spell: [Tornado] or [Scourge] or [Gravity]
12             | > Quake
FD             | > Wait for next turn, reset target
F0 23 20 23    | > Random spell: [Meteor] or [Comet] or [Meteor]
FB 0C 12       | > Misc.: Removes status Slow
FE             | > End of if statement, reset target and wait
E0             | Black Hole
F0 14 1F 0B    | Random spell: [Scourge] or [X-Zone] or [Bio]
FD             | Wait for next turn, reset target
F0 1E 21 1A    | Random spell: [Gravity] or [Slowga] or [Stop]
20             | Comet
FD             | Wait for next turn, reset target
F0 20 23 23    | Random spell: [Comet] or [Meteor] or [Meteor]
FE             | End of if statement, reset target and wait
FF             @ End of action script, begin counter-attack script
FC 0C 03 03    | If... Variable $003 is less than 3
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F8 03 81       | >> Modify variable [$003 + 1]
FE             | >> End of if statement, reset target and wait
FC 12 01 00    | If... Monsters <0> are dead
F5 0C 01 FF    | > Adjust enemies: Monsters <ALL> => Boss Death
FE             | > End of if statement, reset target and wait
FC 06 36 4F    | If... Self HP is below 10112 [16%]; targets them
FC 05 00 00    | > If... HP is decreased
F0 FE FE FE    | >> Use spell: [Nothing]
FE             | >> End of if statement, reset target and wait
FC 0D 03 03    | If... Variable $003 is 3 or more
FC 02 17 42    | > If... Hit by spell [Ultima] or [Perfect Ultima]
71             | >> Shadow Flare
F8 04 81       | >> Modify variable [$004 + 1]
FC 0D 04 03    | >> If... Variable $004 is 3 or more
EF             | >>> Special: Object 199
F0 EF FE FE    | >>> Random spell: [Special: Object 199] or [Nothing] or [Nothing]
F8 04 00       | >>> Modify variable [$004 = 0]
FE             | >>> End of if statement, reset target and wait
FC 0D 03 03    | If... Variable $003 is 3 or more
FC 01 12 0C    | > If... Hit by command [Mimic] or [Blue]
F0 71 FE 71    | >> Random spell: [Shadow Flare] or [Nothing] or [Shadow Flare]
FE             | >> End of if statement, reset target and wait
FC 0D 03 03    | If... Variable $003 is 3 or more
FC 01 19 17    | > If... Hit by command [Summon] or [XMagic]
71             | >> Shadow Flare
FE             | >> End of if statement, reset target and wait
FC 01 12 0C    | If... Hit by command [Mimic] or [Blue]
F0 16 FE 16    | > Random spell: [Flare] or [Nothing] or [Flare]
FE             | > End of if statement, reset target and wait
FC 01 19 17    | If... Hit by command [Summon] or [XMagic]
16             | > Flare
FE             | > End of if statement, reset target and wait
FC 04 20 00    | If... Hit by element(s) [Holy]
E6             | > Whirl
FE             | > End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 FE FE E6    | > Random spell: [Nothing] or [Nothing] or [Whirl]
FE             | > End of if statement, reset target and wait
FF             - End of script

[script #261]  ; orig idx=261, "Exdeath", offset 0xE97360, special: Deal 3x Damage
EF             | Special: Vacuum Wave
F0 EE 8B 8C    | Random spell: [Fight] or [Death Sentence] or [Death Roulette]
FD             | Wait for next turn, reset target
F0 34 8F 34    | Random spell: [Tornado] or [Aeroga] or [Tornado]
F0 C9 EE EE    | Random spell: [Reverse Polarity] or [Fight] or [Fight]
FD             | Wait for next turn, reset target
F0 1E 1E 0F    | Random spell: [Gravity] or [Gravity] or [Dispel]
12             | Quake
FD             | Wait for next turn, reset target
F0 EE EF 16    | Random spell: [Fight] or [Special: Vacuum Wave] or [Flare]
C6             | Flare Star
FD             | Wait for next turn, reset target
D5             | Hurricane
F0 A4 D5 EE    | Random spell: [Thunder Call] or [Hurricane] or [Fight]
FD             | Wait for next turn, reset target
F0 EE 0B EF    | Random spell: [Fight] or [Bio] or [Special: Vacuum Wave]
14             | Scourge
FF             @ End of action script, begin counter-attack script
FC 15 00 00    | If... Variable $000 has unset bit 0x01
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F9 01 00 00    | >> Modify var. bits [$000: Set 0x01]
FE             | >> End of if statement, reset target and wait
FC 12 01 00    | If... Monsters <0> are dead
FB 0E 48       | > Misc.: ??? <0E>
F3 09 00       | > Display message 9: NOOO! WHY!? The Void was mine to command! How could it_ Uwaa...
F5 0C 03 00    | > Adjust enemies: Monsters <Self> => Hide, refill MP
F7 06          | > Special event 0x06
FB 0E 8D       | > Misc.: ??? <0E>
FA 0A 01 00    | > Use Animation 
F2 00 06 80    | > Formation change to 6
F5 0D 00 01    | > Adjust enemies: Monsters <0> => Unhide, refill HP
F3 0A 00       | > Display message 10: I am Neo Exdeath! All memories_ dimensions_ existence_ All t...
FE             | > End of if statement, reset target and wait
FC 02 18 21    | If... Hit by spell [Slow] or [Slowga]
F1 36          | > Set target: Self
19             | > Haste
FE             | > End of if statement, reset target and wait
FC 02 17 42    | If... Hit by spell [Ultima] or [Perfect Ultima]
F0 EF EF 0F    | > Random spell: [Special: Vacuum Wave] or [Special: Vacuum Wave] or [Dispel]
FE             | > End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 FE 0F FE    | > Random spell: [Nothing] or [Dispel] or [Nothing]
F8 01 81       | > Modify variable [$001 + 1]
FC 0D 01 03    | > If... Variable $001 is 3 or more
EF             | >> Special: Vacuum Wave
F8 01 00       | >> Modify variable [$001 = 0]
FF             - End of script

[script #264]  ; orig idx=264, "Sephirot", offset 0xE976A0, special: 100% Deal 1x Damage + HP Absorb
FC 0B 1E 00    | If... Personal timer above 30
FB 00 00       | > Misc.: Reset personal timer
F8 03 01       | > Modify variable [$003 = 1]
F5 08 04 00    | > Adjust enemies: Monsters <Self> => Hide, don't touch HP
F2 00 12 00    | > Formation change to 18
F5 09 02 01    | > Adjust enemies: Monsters <0> => Unhide, don't touch HP
FE             | > End of if statement, reset target and wait
FC 0D 01 04    | If... Variable $001 is 4 or more
F0 EE 23 EE    | > Random spell: [Fight] or [Meteor] or [Fight]
EE             | > Fight
FD             | > Wait for next turn, reset target
F0 15 30 0F    | > Random spell: [Aspir] or [Curaga] or [Dispel]
C3             | > Pale Horse
FD             | > Wait for next turn, reset target
F0 EE EF EE    | > Random spell: [Fight] or [Special: Wing of Ruin] or [Fight]
A7             | > Flash
FD             | > Wait for next turn, reset target
C4             | > Supernova
FE             | > End of if statement, reset target and wait
F0 EE 16 EE    | Random spell: [Fight] or [Flare] or [Fight]
EE             | Fight
FD             | Wait for next turn, reset target
F0 11 94 0F    | Random spell: [Rasp] or [Level ? Death] or [Dispel]
C3             | Pale Horse
FD             | Wait for next turn, reset target
EE             | Fight
8B             | Death Sentence
FD             | Wait for next turn, reset target
C4             | Supernova
FE             | End of if statement, reset target and wait
FF             @ End of action script, begin counter-attack script
FC 0C 01 05    | If... Variable $001 is less than 5
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F8 01 81       | >> Modify variable [$001 + 1]
FE             | >> End of if statement, reset target and wait
FC 12 01 00    | If... Monsters <0> are dead
F5 0C 01 FF    | > Adjust enemies: Monsters <ALL> => Boss Death
FE             | > End of if statement, reset target and wait
FC 01 02 0C    | If... Hit by command [Magic] or [Blue]
F0 EF 99 99    | > Random spell: [Special: Wing of Ruin] or [Step Mine] or [Step Mine]
F8 00 81       | > Modify variable [$000 + 1]
FC 0D 00 04    | > If... Variable $000 is 4 or more
F8 00 00       | >> Modify variable [$000 = 0]
F8 03 00       | >> Modify variable [$003 = 0]
F5 08 04 00    | >> Adjust enemies: Monsters <Self> => Hide, don't touch HP
F2 00 12 00    | >> Formation change to 18
F5 09 02 01    | >> Adjust enemies: Monsters <0> => Unhide, don't touch HP
FE             | >> End of if statement, reset target and wait
FC 01 17 19    | If... Hit by command [XMagic] or [Summon]
F0 EF 99 99    | > Random spell: [Special: Wing of Ruin] or [Step Mine] or [Step Mine]
F8 00 81       | > Modify variable [$000 + 1]
FC 0D 00 04    | > If... Variable $000 is 4 or more
F8 00 00       | >> Modify variable [$000 = 0]
F8 03 00       | >> Modify variable [$003 = 0]
F5 08 04 00    | >> Adjust enemies: Monsters <Self> => Hide, don't touch HP
F2 00 12 00    | >> Formation change to 18
F5 09 02 01    | >> Adjust enemies: Monsters <0> => Unhide, don't touch HP
FE             | >> End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 FE EE EF    | > Random spell: [Nothing] or [Fight] or [Special: Wing of Ruin]
F8 00 81       | > Modify variable [$000 + 1]
FC 0D 00 04    | > If... Variable $000 is 4 or more
F8 00 00       | >> Modify variable [$000 = 0]
F8 03 00       | >> Modify variable [$003 = 0]
F5 08 04 00    | >> Adjust enemies: Monsters <Self> => Hide, don't touch HP
F2 00 12 00    | >> Formation change to 18
F5 09 02 01    | >> Adjust enemies: Monsters <0> => Unhide, don't touch HP
FF             - End of script

[script #265]  ; orig idx=265, "Ultimeci", offset 0xE978A0, special: Deal 3.5x Damage
FC 15 00 00    | If... Variable $000 has unset bit 0x01
F3 11 00       | > Display message 17: I am Ultimecia. Time shall compress_  _All existence denied.
C0             | > Fallen One
F9 01 00 00    | > Modify var. bits [$000: Set 0x01]
FE             | > End of if statement, reset target and wait
FC 0D 03 04    | If... Variable $003 is 4 or more
F0 16 23 23    | > Random spell: [Flare] or [Meteor] or [Meteor]
F0 EE EF EE    | > Random spell: [Fight] or [Special: Knight's Blade] or [Fight]
FD             | > Wait for next turn, reset target
D2             | > Magic Annihilation
F0 E8 CE CC    | > Random spell: [Kill] or [Entice] or [Southern Cross]
FD             | > Wait for next turn, reset target
17             | > Ultima
F0 DA 30 C5    | > Random spell: [Weakness] or [Curaga] or [Northern Cross]
FD             | > Wait for next turn, reset target
CA             | > Apocalypse
F0 EE EF EE    | > Random spell: [Fight] or [Special: Knight's Blade] or [Fight]
FD             | > Wait for next turn, reset target
D2             | > Magic Annihilation
F0 A4 D2 D2    | > Random spell: [Thunder Call] or [Magic Annihilation] or [Magic Annihilation]
FE             | > End of if statement, reset target and wait
F0 16 35 35    | Random spell: [Flare] or [Holy] or [Holy]
F0 EE EE 16    | Random spell: [Fight] or [Fight] or [Flare]
FD             | Wait for next turn, reset target
F0 D2 12 14    | Random spell: [Magic Annihilation] or [Quake] or [Scourge]
F0 EE DA EE    | Random spell: [Fight] or [Weakness] or [Fight]
FD             | Wait for next turn, reset target
CA             | Apocalypse
FD             | Wait for next turn, reset target
F0 D2 16 34    | Random spell: [Magic Annihilation] or [Flare] or [Tornado]
F0 10 DA CE    | Random spell: [Death] or [Weakness] or [Entice]
FE             | End of if statement, reset target and wait
FF             @ End of action script, begin counter-attack script
FC 0C 03 03    | If... Variable $003 is less than 3
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F8 03 81       | >> Modify variable [$003 + 1]
FE             | >> End of if statement, reset target and wait
FC 0C 03 05    | If... Variable $003 is less than 5
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F1 43          | >> Set target: All party members
0F             | >> Dispel
D1             | >> Time Compression
F8 03 81       | >> Modify variable [$003 + 1]
FE             | >> End of if statement, reset target and wait
FC 12 01 00    | If... Monsters <0> are dead
F7 04          | > Special event 0x04
F5 0C 01 FF    | > Adjust enemies: Monsters <ALL> => Boss Death
FE             | > End of if statement, reset target and wait
FC 02 42 42    | If... Hit by spell [Perfect Ultima] or [Perfect Ultima]
F1 43          | > Set target: All party members
F0 FE 42 FE    | > Random spell: [Nothing] or [Perfect Ultima] or [Nothing]
FE             | > End of if statement, reset target and wait
FC 02 43 43    | If... Hit by spell [Mega Flare] or [Mega Flare]
F1 43          | > Set target: All party members
F0 FE 43 FE    | > Random spell: [Nothing] or [Mega Flare] or [Nothing]
FE             | > End of if statement, reset target and wait
FC 02 3D 3D    | If... Hit by spell [Tidal Wave] or [Tidal Wave]
F1 43          | > Set target: All party members
F0 FE 3D FE    | > Random spell: [Nothing] or [Tidal Wave] or [Nothing]
FE             | > End of if statement, reset target and wait
FC 01 02 17    | If... Hit by command [Magic] or [XMagic]
F0 FE B1 FE    | > Random spell: [Nothing] or [Blaster] or [Nothing]
FE             | > End of if statement, reset target and wait
FC 01 0C 0D    | If... Hit by command [Blue] or [Sketch]
F0 FE FE B1    | > Random spell: [Nothing] or [Nothing] or [Blaster]
FE             | > End of if statement, reset target and wait
FC 01 0A 07    | If... Hit by command [Blitz] or [Iaido]
F0 EF FE EF    | > Random spell: [Special: Knight's Blade] or [Nothing] or [Special: Knight's Blade]
FE             | > End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 FE EE EE    | > Random spell: [Nothing] or [Fight] or [Fight]
FE             | > End of if statement, reset target and wait
FF             - End of script

[script #266]  ; orig idx=266, "Chaos", offset 0xE974C0, special: Deal 3x Damage
FC 0D 00 02    | If... Variable $000 is 2 or more
FC 15 00 00    | > If... Variable $000 has unset bit 0x01
F3 0F 00       | >> Display message 15: Shiver at the power of a god!
FB 01 36       | >> Misc.: Self becomes invincible
45             | >> Armageddon
F9 01 00 00    | >> Modify var. bits [$000: Set 0x01]
FB 05 36       | >> Misc.: Self loses invincibility
FE             | >> End of if statement, reset target and wait
FC 0D 00 03    | If... Variable $000 is 3 or more
BD             | > Earthquake
30             | > Curaga
FD             | > Wait for next turn, reset target
E7             | > Merton
F0 12 34 16    | > Random spell: [Quake] or [Tornado] or [Flare]
13             | > Flood
FD             | > Wait for next turn, reset target
D7             | > Shrapnel
A4             | > Thunder Call
FE             | > End of if statement, reset target and wait
BD             | Earthquake
F0 19 28 29    | Random spell: [Haste] or [Protect] or [Shell]
FD             | Wait for next turn, reset target
A4             | Thunder Call
F0 EE D7 D7    | Random spell: [Fight] or [Shrapnel] or [Shrapnel]
FD             | Wait for next turn, reset target
E7             | Merton
F0 EE 16 16    | Random spell: [Fight] or [Flare] or [Flare]
FD             | Wait for next turn, reset target
F0 EF EE EF    | Random spell: [Special: Deathblow] or [Fight] or [Special: Deathblow]
F0 34 30 34    | Random spell: [Tornado] or [Curaga] or [Tornado]
FF             @ End of action script, begin counter-attack script
FC 0C 00 03    | If... Variable $000 is less than 3
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F8 00 81       | >> Modify variable [$000 + 1]
FE             | >> End of if statement, reset target and wait
FC 12 01 00    | If... Monsters <0> are dead
F5 0C 01 FF    | > Adjust enemies: Monsters <ALL> => Boss Death
FE             | > End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 FE EF 18    | > Random spell: [Nothing] or [Special: Deathblow] or [Slow]
FF             - End of script

[script #267]  ; orig idx=267, "Mateus", offset 0xE97560, special: Deal 1x Damage + Inflict Muddle
FC 0D 02 08    | If... Variable $002 is 8 or more
F1 36          | > Set target: Self
93             | > White Wind
F8 02 00       | > Modify variable [$002 = 0]
FE             | > End of if statement, reset target and wait
A0             | Quasar
F0 EE EF EE    | Random spell: [Fight] or [Special: Absolute Dominion] or [Fight]
FD             | Wait for next turn, reset target
F0 EE 9C EE    | Random spell: [Fight] or [Bad Breath] or [Fight]
F0 EB BE CC    | Random spell: [Life Shaver] or [Flash Rain] or [Southern Cross]
FD             | Wait for next turn, reset target
6D             | Cliff Collapse
F0 EE EE EF    | Random spell: [Fight] or [Fight] or [Special: Absolute Dominion]
FD             | Wait for next turn, reset target
F0 20 23 23    | Random spell: [Comet] or [Meteor] or [Meteor]
FF             @ End of action script, begin counter-attack script
FC 15 00 01    | If... Variable $000 has unset bit 0x02
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F9 01 00 01    | >> Modify var. bits [$000: Set 0x02]
FE             | >> End of if statement, reset target and wait
FC 12 01 00    | If... Monsters <0> are dead
F3 0C 00       | > Display message 12: Unbelievable_ It can't be_ I'm_ defeated?!
F5 0C 03 00    | > Adjust enemies: Monsters <Self> => Hide, refill MP
F2 00 0B 80    | > Formation change to 11
F5 08 00 01    | > Adjust enemies: Monsters <0> => Unhide, refill HP
F3 0D 00       | > Display message 13: Foolish humans_ Better you sleep than live in despair_
FE             | > End of if statement, reset target and wait
FC 02 17 42    | If... Hit by spell [Ultima] or [Perfect Ultima]
F0 FE EF EF    | > Random spell: [Nothing] or [Special: Absolute Dominion] or [Special: Absolute Dominion]
F8 02 83       | > Modify variable [$002 + 3]
F9 01 00 02    | > Modify var. bits [$000: Set 0x04]
FE             | > End of if statement, reset target and wait
FC 02 23 43    | If... Hit by spell [Meteor] or [Mega Flare]
F0 FE EF EF    | > Random spell: [Nothing] or [Special: Absolute Dominion] or [Special: Absolute Dominion]
F8 02 82       | > Modify variable [$002 + 2]
FE             | > End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 FE EF EF    | > Random spell: [Nothing] or [Special: Absolute Dominion] or [Special: Absolute Dominion]
F8 02 81       | > Modify variable [$002 + 1]
FF             - End of script

[script #268]  ; orig idx=268, "Mateus", offset 0xE97600, special: 100% Deal 1x Damage + Inflict Stop
FC 15 00 00    | If... Variable $000 has unset bit 0x01
DC             | > Cloudy Heaven
F9 01 00 00    | > Modify var. bits [$000: Set 0x01]
FE             | > End of if statement, reset target and wait
FC 14 00 02    | If... Variable $000 has set bit 0x04
FC 0B 2D 00    | > If... Personal timer above 45
FB 00 00       | >> Misc.: Reset personal timer
F3 10 00       | >> Display message 16: Ultimate magic_ I'll treasure this knowledge!
17             | >> Ultima
FE             | >> End of if statement, reset target and wait
